Participant,Age,Gender,Experience [years],Role,Trial,Scenario,Correct_Rule,Selected_Rule,Reaction_Time,Correct,Perseverative_Error,Non_Perseverative_Error,Scenario_Shown,Scenario_Persevering_Click,Feedback
Froggy,26,Male,20,Attacker,1,Trial-1_Scenario-1,selfish,selfish,1.3434014320373535,1,0,0,C:\Users\anton\OneDrive\Skrivebord\Football_Adapted-WCST\script\scenarios\attacker\a1\a1.png,,Correct!
Froggy,26,Male,20,Attacker,1,Trial-1_Scenario-2,selfish,selfish,1.3415918350219727,1,0,0,C:\Users\anton\OneDrive\Skrivebord\Football_Adapted-WCST\script\scenarios\attacker\a2\a2.png,selfish,Correct!
Froggy,26,Male,20,Attacker,1,Trial-1_Scenario-3,selfish,selfish,0.762855052947998,1,0,0,C:\Users\anton\OneDrive\Skrivebord\Football_Adapted-WCST\script\scenarios\attacker\a3\a3.png,selfish,Correct!
Froggy,26,Male,20,Attacker,1,Trial-1_Scenario-4,selfish,selfish,0.5301885604858398,1,0,0,C:\Users\anton\OneDrive\Skrivebord\Football_Adapted-WCST\script\scenarios\attacker\a4\a4.png,selfish,Correct!
Froggy,26,Male,20,Attacker,1,Trial-1_Scenario-5,selfish,selfish,0.6544890403747559,1,0,0,C:\Users\anton\OneDrive\Skrivebord\Football_Adapted-WCST\script\scenarios\attacker\a5\a5.png,selfish,Correct!
Froggy,26,Male,20,Attacker,1,Trial-1_Scenario-6,selfish,selfish,0.6502289772033691,1,0,0,C:\Users\anton\OneDrive\Skrivebord\Football_Adapted-WCST\script\scenarios\macro\m1\m1.png,selfish,Correct!
Froggy,26,Male,20,Attacker,1,Trial-1_Scenario-7,selfish,team-player,0.7949812412261963,0,0,1,C:\Users\anton\OneDrive\Skrivebord\Football_Adapted-WCST\script\scenarios\macro\m2\m2.png,selfish,Wrong.
Froggy,26,Male,20,Attacker,1,Trial-1_Scenario-8,selfish,selfish,1.2969892024993896,1,0,0,C:\Users\anton\OneDrive\Skrivebord\Football_Adapted-WCST\script\scenarios\macro\m3\m3.png,selfish,Correct!
Froggy,26,Male,20,Attacker,1,Trial-1_Scenario-9,selfish,selfish,5.730965852737427,1,0,0,C:\Users\anton\OneDrive\Skrivebord\Football_Adapted-WCST\script\scenarios\macro\m4\m4.png,selfish,Correct!
Froggy,26,Male,20,Attacker,1,Trial-1_Scenario-10,selfish,selfish,2.872205972671509,1,0,0,C:\Users\anton\OneDrive\Skrivebord\Football_Adapted-WCST\script\scenarios\macro\m5\m5.png,selfish,Correct!
Froggy,26,Male,20,Attacker,2,Trial-2_Scenario-1,team-player,team-player,1.4936437606811523,1,0,0,C:\Users\anton\OneDrive\Skrivebord\Football_Adapted-WCST\script\scenarios\attacker\a1\a1.png,selfish,Correct!
Froggy,26,Male,20,Attacker,2,Trial-2_Scenario-2,team-player,team-player,1.3007185459136963,1,0,0,C:\Users\anton\OneDrive\Skrivebord\Football_Adapted-WCST\script\scenarios\attacker\a2\a2.png,team-player,Correct!
Froggy,26,Male,20,Attacker,2,Trial-2_Scenario-3,team-player,team-player,0.9195756912231445,1,0,0,C:\Users\anton\OneDrive\Skrivebord\Football_Adapted-WCST\script\scenarios\attacker\a3\a3.png,team-player,Correct!
Froggy,26,Male,20,Attacker,2,Trial-2_Scenario-4,team-player,team-player,2.8689236640930176,1,0,0,C:\Users\anton\OneDrive\Skrivebord\Football_Adapted-WCST\script\scenarios\attacker\a4\a4.png,team-player,Correct!
Froggy,26,Male,20,Attacker,2,Trial-2_Scenario-5,team-player,team-player,2.1587016582489014,1,0,0,C:\Users\anton\OneDrive\Skrivebord\Football_Adapted-WCST\script\scenarios\attacker\a5\a5.png,team-player,Correct!
Froggy,26,Male,20,Attacker,2,Trial-2_Scenario-6,team-player,team-player,1.3552727699279785,1,0,0,C:\Users\anton\OneDrive\Skrivebord\Football_Adapted-WCST\script\scenarios\macro\m1\m1.png,team-player,Correct!
Froggy,26,Male,20,Attacker,2,Trial-2_Scenario-7,team-player,team-player,2.41711163520813,1,0,0,C:\Users\anton\OneDrive\Skrivebord\Football_Adapted-WCST\script\scenarios\macro\m2\m2.png,team-player,Correct!
Froggy,26,Male,20,Attacker,2,Trial-2_Scenario-8,team-player,selfish,0.7073423862457275,0,0,1,C:\Users\anton\OneDrive\Skrivebord\Football_Adapted-WCST\script\scenarios\macro\m3\m3.png,team-player,Wrong.
Froggy,26,Male,20,Attacker,2,Trial-2_Scenario-9,team-player,hold the possession,0.9139325618743896,0,0,1,C:\Users\anton\OneDrive\Skrivebord\Football_Adapted-WCST\script\scenarios\macro\m4\m4.png,team-player,Wrong.
Froggy,26,Male,20,Attacker,2,Trial-2_Scenario-10,team-player,hold the possession,0.9607293605804443,0,0,1,C:\Users\anton\OneDrive\Skrivebord\Football_Adapted-WCST\script\scenarios\macro\m5\m5.png,team-player,Wrong.
Froggy,26,Male,20,Attacker,3,Trial-3_Scenario-1,hold the possession,hold the possession,0.6348371505737305,1,0,0,C:\Users\anton\OneDrive\Skrivebord\Football_Adapted-WCST\script\scenarios\attacker\a1\a1.png,team-player,Correct!
